category_id,category_name,subcategory_id,subcategory_name,product_id,product_code,product_name,product_second_name,product_type,unit_codes,line_count,invoice_count,customer_count,qty_sold,unit_qty_sold,sales_ex_vat,vat_allocated_from_invoice,sales_inc_vat_allocated,item_discount_total,first_sale_date,last_sale_date,avg_unit_price,avg_net_unit_price
2,"Airless Sprayer",,,5,83170496,"เครื่องพ่นสีแรงดันสูง-Airless sprayer รุ่น RB899",,standard,เครื่อง,9,9,8,9.0000,9.0000,325383.19,20046.82,345430.01,0.00,2026-05-05,2026-05-30,36153.6878,36153.6878
4,"Screw Pump",,,1160,35169305,"เครื่องพ่นปูนฉาบ ขนาดเล็ก รุ่น RB-MT-F13","Portable Mortar Cement Spraying Machine Plaster Spray Equipment DQ-F13",standard,เครื่อง,4,4,3,4.0000,4.0000,256247.67,17937.34,274185.01,0.00,2026-05-07,2026-05-13,64061.9175,64061.9175
4,"Screw Pump",,,7,14566695,"เครื่องพ่นปูนฉาบ-Motar Sprayer ไฟ 220v รุ่น RB-MT9001"," mortar  sprayer 220v MT9001 (RB-M30L)",standard,เครื่อง,4,4,2,4.0000,4.0000,253112.15,17717.85,270830.00,0.00,2026-05-15,2026-05-28,63278.0375,63278.0375
2,"Airless Sprayer",,,529,35642847,"เครื่องพ่นสีจราจรAirless Traffic Paint Sprayer รุ่นRB-GM91","Airless Traffic Paint Sprayer GM91",standard,เครื่อง,2,2,2,2.0000,2.0000,158000.00,11060.00,169060.00,0.00,2026-05-07,2026-05-22,79000.0000,79000.0000
4,"Screw Pump",,,47,19636436,"เครื่องพ่นปูนฉาบ ระบบน้ำมัน 12 HP diesel mortar sprayer",,standard,เครื่อง,1,1,1,1.0000,1.0000,130000.00,9100.00,139100.00,0.00,2026-05-06,2026-05-06,130000.0000,130000.0000
2,"Airless Sprayer",,,1183,91485945,"เครื่องพ่นสีแรงดันสูง-Airless Sprayer ระบบinverter รุ่น RB360S","Airless Sprayer -DF360",standard,เครื่อง,8,8,2,8.0000,8.0000,113264.46,6885.51,120149.97,0.00,2026-05-04,2026-05-30,14158.0575,14158.0575
5,"Paint and decorating",,,12,79618933,"เครื่องกรีดผนังเซาะร่อง-Wall cutter ระบบน้ำ รุ่น WALLCD-1009","1009 Wall Chaser",standard,เครื่อง,6,6,6,6.0000,6.0000,91441.59,6400.91,97842.50,0.00,2026-05-06,2026-05-21,15240.2650,15240.2650
2,"Airless Sprayer",,,8,98458393,"เครื่องพ่นสีแรงดันสูง-Airless Sprayer ระบบinverter รุ่น RB5300","DF5300 Airless Sprayer ",standard,เครื่อง,3,3,3,3.0000,3.0000,73714.49,5160.01,78874.50,0.00,2026-05-15,2026-05-28,24571.4967,24571.4967
2,"Airless Sprayer",,,1136,00869462,"เครื่องพ่นสีแรงดันสูง-AIRLESS SPRAYER RB-795",,standard,เครื่อง,3,3,2,3.0000,3.0000,65329.91,4573.09,69903.00,0.00,2026-05-04,2026-05-21,21776.6367,21776.6367
2,"Airless Sprayer",,,10,24202698,"เครื่องพ่นสีแรงดันสูง-Airless sprayer แรงดูดสี 8.2L/min รุ่น RB999s",,standard,เครื่อง,1,1,1,1.0000,1.0000,60000.00,4200.00,64200.00,0.00,2026-05-26,2026-05-26,60000.0000,60000.0000
2,"Airless Sprayer",,,1134,41061983,"เครื่องพ่นสีแรงดันสูง-AIRLESS SPRAYER RB-395",,standard,เครื่อง,3,3,3,3.0000,3.0000,41700.00,2919.00,44619.00,0.00,2026-05-18,2026-05-28,13900.0000,13900.0000
38,"WALL CHASERS",,,1158,54633273,"เครื่องเลื่อยวงแหวน Brushless Ring Saw  RB-7425D"," Brushless Ring Saw  machine RB-7425D",standard,เครื่อง,2,2,2,2.0000,2.0000,37800.00,2646.00,40446.00,0.00,2026-05-14,2026-05-16,18900.0000,18900.0000
38,"WALL CHASERS",,,1038,96937536,"เครื่องดัดเหล็ก-punching machine ( 25 mm.) รุ่น RB-25","punching machine ( 25 mm.) RB-25",standard,เครื่อง,1,1,1,1.0000,1.0000,37373.83,2616.17,39990.00,0.00,2026-05-30,2026-05-30,37373.8300,37373.8300
2,"Airless Sprayer",,,56,69847130,"Packer รุ่น B - 8","B8 Check water needle",standard,PCS,6,6,1,2250.0000,2250.0000,36000.00,2520.00,38520.00,0.00,2026-05-06,2026-05-27,16.0000,16.0000
3,"Missing category 3",,,21,21543011,"เครื่องยิงโฟม อีพ็อกซี่-Grouting injection pump รีโมท รุ่น RB-WE01",,standard,เครื่อง,2,2,2,2.0000,2.0000,33322.43,2332.57,35655.00,0.00,2026-05-06,2026-05-12,16661.2150,16661.2150
2,"Airless Sprayer",,,86,94030123,"RB-PS Pressure hose 1/4  15m.",,standard,PCS,10,10,8,11.0000,11.0000,22114.02,1547.98,23662.00,0.00,2026-05-08,2026-05-30,2011.4020,2011.4020
22,"Other spraying equipments",,,20,11508823,"เครื่องยิงโฟม อีพ็อกซี่-Grouting injection pump รุ่น RB-WE02","machine grouting perfusion DQ-9999",standard,เครื่อง,2,2,2,2.0000,2.0000,19800.00,1386.00,21186.00,0.00,2026-05-23,2026-05-30,9900.0000,9900.0000
2,"Airless Sprayer",,,446,66765095,ค่ามัดจำ,,service,เครื่อง,2,2,2,2.0000,2.0000,19345.79,654.21,20000.00,0.00,2026-05-15,2026-05-29,9672.8950,9672.8950
46,"Wall Polishing Machine",,,1035,52633085,"เครื่องเลื่อยวงแหวนตัดคอนกรีต รุ่น RB-W410","5000W Saw Ring Saw 410mm Brushless Power Cutting Saw",standard,เครื่อง,1,1,1,1.0000,1.0000,18500.00,1295.00,19795.00,0.00,2026-05-23,2026-05-23,18500.0000,18500.0000
2,"Airless Sprayer",,,322,78118904,"RB-G230 Spray gun airless ปืนพ่นสี",,standard,อัน,3,3,2,4.0000,4.0000,15240.05,1066.80,16306.85,0.00,2026-05-14,2026-05-28,3755.0167,3755.0167
30,"Drywall sander, wall sander",,,1132,20818917,"เครื่องขัดปูน DQ-8105ZX 1200W ",,standard,เครื่อง,3,3,2,4.0000,4.0000,15229.91,1066.09,16296.00,0.00,2026-05-06,2026-05-23,3776.6367,3776.6367
2,"Airless Sprayer",,,772,76338864,"เครื่องพ่นสีแรงดันสูง-AIRLESS SPRAYER RB-360","AIRLESS SPRAYER-DF360",standard,เครื่อง,1,1,1,1.0000,1.0000,14900.00,1043.00,15943.00,0.00,2026-05-29,2026-05-29,14900.0000,14900.0000
30,"Drywall sander, wall sander",,,17,66577922,"เครื่องขัดผนังสกิมโค้ท ด้ามยาว เก็บฝุ่นในตัว รุ่น RB-DWS225B","drywall sander  DWS225B",standard,เครื่อง,2,2,2,2.0000,2.0000,13883.18,971.82,14855.00,0.00,2026-05-05,2026-05-20,6941.5900,6941.5900
30,"Drywall sander, wall sander",,,18,31351241,"เครื่องขัดผนังสกิมโค้ท ด้ามสั้นเก็บฝุ่น รุ่น  RB-DWS180S ","Drywall Sander",standard,เครื่อง,3,3,2,5.0000,5.0000,13500.00,945.00,14445.00,0.00,2026-05-21,2026-05-26,2700.0000,2700.0000
30,"Drywall sander, wall sander",,,1009,56339566,"เครื่องขัดพื้นปูนเข้ามุม RB-DWS225A",,standard,เครื่อง,1,1,1,1.0000,1.0000,13500.00,945.00,14445.00,0.00,2026-05-07,2026-05-07,13500.0000,13500.0000
5,"Paint and decorating",,,111,14549706,"ใบตัดคอนกรีด ขนาด133mm.(ใบบิด)",,standard,PCS,3,3,3,50.0000,50.0000,12150.00,850.50,13000.50,0.00,2026-05-08,2026-05-21,135.0000,135.0000
4,"Screw Pump",,,352,77260835,"ชุดลูกยาง-Startor-Rotor Width 9cm high 27.5cm เครื่องพ่นปูน รุ่นMT9001",,standard,SET,2,2,2,3.0000,3.0000,11700.00,819.00,12519.00,0.00,2026-05-23,2026-05-28,3900.0000,3900.0000
2,"Airless Sprayer",,,1186,28929687,"electrical circuit board แผงวงจรไฟฟ้า RB-1060","electrical circuit board for RB-1060",standard,PCS,1,1,1,1.0000,1.0000,10850.00,759.50,11609.50,0.00,2026-05-22,2026-05-22,10850.0000,10850.0000
2,"Airless Sprayer",,,585,69572134,ค่ามัดจำ,,service,PCS,1,1,1,1.0000,1.0000,9345.79,654.21,10000.00,0.00,2026-05-25,2026-05-25,9345.7900,9345.7900
5,"Paint and decorating",,,59,48383208,"Packer รุ่น A -8",,standard,PCS,4,4,4,700.0000,700.0000,8400.00,588.00,8988.00,0.00,2026-05-05,2026-05-30,12.0000,12.0000
38,"WALL CHASERS",,,1157,01025726,"ใบตัด เครื่องเลื่อยวงแหวนตัดคอนกรีต Brushless Ring Saw รุ่น RB-7425D ","cutting blade Brushless Ring Saw  RB-7425D",standard,อัน,1,1,1,2.0000,2.0000,7950.00,556.50,8506.50,0.00,2026-05-22,2026-05-22,3975.0000,3975.0000
30,"Drywall sander, wall sander",,,1185,73227450,"เครื่องขัดพื้นปูนคอนกรีต แบบ3 หัว รุ่น RB-DWS225C",,standard,เครื่อง,1,1,1,1.0000,1.0000,7943.93,556.08,8500.01,0.00,2026-05-11,2026-05-11,7943.9300,7943.9300
2,"Airless Sprayer",,,88,56540900,"RB-PS Pressure hose 15m.(3/8)",,standard,PCS,1,1,1,2.0000,2.0000,7000.00,490.00,7490.00,0.00,2026-05-22,2026-05-22,3500.0000,3500.0000
30,"Drywall sander, wall sander",,,1085,81277448,"แผ่นขัดพื้นกลมแดง ขนาด 4 นิ้ว #40",,standard,PCS,3,3,3,8.0000,8.0000,6108.32,427.58,6535.90,0.00,2026-05-05,2026-05-23,742.7733,742.7733
30,"Drywall sander, wall sander",,,1137,15759750,"เครื่องขัดปูน หน้า 7 นิ้ว รุ่น DQ-150ZX 3000W",,standard,เครื่อง,1,1,1,1.0000,1.0000,5900.00,413.00,6313.00,0.00,2026-05-21,2026-05-21,5900.0000,5900.0000
2,"Airless Sprayer",,,1109,63573265,"เครื่องพ่นสีขนาดพกพา แบบแบตเตอรี่ รุ่น RB-DQ600BL","Battery-powered airless paint sprayer  RB-DQ600BL",standard,เครื่อง,1,1,1,1.0000,1.0000,5140.19,359.81,5500.00,0.00,2026-05-02,2026-05-02,5140.1900,5140.1900
4,"Screw Pump",,,359,18248883,"สายพ่นปูน-HOSE Mortar เครื่องพ่นปูน รุ่นMT9001","HOSE Mortar sprayer MT-9001",standard,PCS,1,1,1,1.0000,1.0000,5140.19,359.81,5500.00,0.00,2026-05-15,2026-05-15,5140.1900,5140.1900
22,"Other spraying equipments",,,225,78823195,"สายไฮโดรลิก- epoxy  grouting   spare parts รุ่น RB-WE01,WE02","epoxy  grouting   spare parts RB-WE01,WE02",standard,PCS,5,5,3,7.0000,7.0000,4930.00,345.10,5275.10,0.00,2026-05-16,2026-05-27,710.0000,710.0000
38,"WALL CHASERS",,,1046,04819892,"บาร์โซ่เลื่อยตัดคอนกรีต (เครื่องเลื่อยตัดไฟฟ้า 20 นิ้ว)",,standard,PCS,1,1,1,3.0000,3.0000,4770.00,333.90,5103.90,0.00,2026-05-12,2026-05-12,1590.0000,1590.0000
46,"Wall Polishing Machine",,,1016,86092530,"ขาตั้งCentipede ขา Strut อลูมิเนียมอัลลอยด์แบบพกพา RB-CS10",,standard,SET,1,1,1,1.0000,1.0000,4500.00,315.00,4815.00,0.00,2026-05-04,2026-05-04,4500.0000,4500.0000
1,"Missing category 1",,,32,54906572,"แผ่นฟองน้ำ (อย่างดี)-Sponge  disc Premium",,standard,แผ่น,1,1,1,10.0000,10.0000,4000.00,280.00,4280.00,0.00,2026-05-29,2026-05-29,400.0000,400.0000
30,"Drywall sander, wall sander",,,1141,33417325,"ทุ่น Rotor spare parts  รุ่น RB-225A","Rotor spare parts RB-225A",standard,PCS,2,2,1,2.0000,2.0000,3950.00,276.50,4226.50,0.00,2026-05-21,2026-05-22,1975.0000,1975.0000
1,"Missing category 1",,,2,03665944,"เครื่องปั่นหน้าปูนฉาบ สายไฟ 5 เมตร รุ่น RB-PSM370-5M","wet cement  sanding machine  pSM -300   5meter wire",standard,SET,2,2,2,2.0000,2.0000,3925.23,274.77,4200.00,0.00,2026-05-06,2026-05-20,1962.6150,1962.6150
30,"Drywall sander, wall sander",,,61,45473436,"กระดาษทรายขัดผนังหน้า 7 นิ้ว เบอร์80","80grits180mm sandpaper ",standard,แผ่น,9,6,5,350.0000,350.0000,3914.96,225.05,4140.01,0.00,2026-05-18,2026-05-26,11.6378,11.6378
5,"Paint and decorating",,,220,93981649,"ไม้ปาดสกิมโค้ท สีแดง  Scraper 40 cm.",,standard,PCS,2,2,2,4.0000,4.0000,3737.85,261.65,3999.50,0.00,2026-05-06,2026-05-09,918.9250,918.9250
2,"Airless Sprayer",,,811,26036883,ค่าส่ง,,service,PCS,9,9,8,9.0000,9.0000,3713.55,249.45,3963.00,0.00,2026-05-08,2026-05-29,412.6167,412.6167
5,"Paint and decorating",,,58,34545087,"Packer รุ่น A -10","A10Check water needle",standard,PCS,6,6,3,300.0000,300.0000,3600.00,252.00,3852.00,0.00,2026-05-06,2026-05-12,12.0000,12.0000
2,"Airless Sprayer",,,1010,11487134,"Battery Backpack-airless Sprayer 4.0 AH",,standard,PCS,2,2,2,3.0000,3.0000,3228.04,225.96,3454.00,0.00,2026-05-02,2026-05-26,1064.0200,1064.0200
1,"Missing category 1",,,3,21842309,"เครื่องปั่นหน้าปูนฉาบ สายไฟ 10  เมตร รุ่น RB-PSM370-10M ","wet cement  sanding machine  pSM -300   10meter wire",standard,SET,1,1,1,1.0000,1.0000,3000.00,210.00,3210.00,0.00,2026-05-29,2026-05-29,3000.0000,3000.0000
22,"Other spraying equipments",,,54,97527537,"ปืนยิงโฟม Long gun head of grouting machine รุ่นPU-GUN-Foam-01","Long gun head of grouting machine PU-GUN-Foam-01",standard,PCS,2,2,2,3.0000,3.0000,2970.00,207.90,3177.90,0.00,2026-05-23,2026-05-27,990.0000,990.0000
30,"Drywall sander, wall sander",,,67,21961958,"กระดาษทรายขัดผนังหน้า 9 นิ้ว เบอร์80","225mm Sandpaper no.80",standard,แผ่น,8,4,4,200.0000,200.0000,2942.98,206.01,3148.99,0.00,2026-05-04,2026-05-25,14.7838,14.7838
2,"Airless Sprayer",,,155,37498222,"Spray Tip 517",,standard,อัน,15,14,11,17.0000,17.0000,2843.46,199.04,3042.50,0.00,2026-05-04,2026-05-30,113.1160,113.1160
38,"WALL CHASERS",,,1078,88471131,"ใบตัด ขนาด 12 นิ้ว  RB-320-1","BLADE 320MM",standard,PCS,1,1,1,1.0000,1.0000,2820.00,197.40,3017.40,0.00,2026-05-14,2026-05-14,2820.0000,2820.0000
22,"Other spraying equipments",,,124,05170330,"PU FOAM หัวอัดจารบี เครื่องยิงโฟม- Phosset injection pump รุ่น PU- Phosset -02 Black","Phosset injection pump (Black)",standard,SET,3,3,1,4.0000,4.0000,2800.00,196.00,2996.00,0.00,2026-05-06,2026-05-27,700.0000,700.0000
2,"Airless Sprayer",,,159,31220419,"RB-WF60mesh White airless spray gun filter- ใส้กรองปืนสีขาว",,standard,อัน,32,31,19,90.0000,90.0000,2780.38,194.63,2975.01,0.00,2026-05-04,2026-05-30,9.1706,9.1706
2,"Airless Sprayer",,,162,02770435,"Extend tube-ด้ามต่อหัวพ่น ขนาด 50cm.",,standard,อัน,22,22,14,22.0000,22.0000,2768.81,130.82,2899.63,0.00,2026-05-04,2026-05-30,125.8550,125.8550
2,"Airless Sprayer",,,762,92313469,"Tip Guard (สีดำ)",,standard,PCS,4,4,4,7.0000,7.0000,2678.04,187.46,2865.50,0.00,2026-05-07,2026-05-30,266.0050,266.0050
2,"Airless Sprayer",,,1059,32878401,"สายดูดสี Connector newmodel Full set for RB360",,standard,SET,2,2,2,2.0000,2.0000,2568.22,179.78,2748.00,0.00,2026-05-13,2026-05-30,1284.1100,1284.1100
1,"Missing category 1",,,722,25937212,"กระดาษทราย-เกรียงขัดกระดาษเข้ามุม ความยาว 50 cm  เบอร์ 320",,standard,แผ่น,1,1,1,100.0000,100.0000,2500.00,175.00,2675.00,0.00,2026-05-30,2026-05-30,25.0000,25.0000
48,"Power Tools",,,807,67876762,เครื่องสั่นกระเบื้อง(สีดำ),,standard,เครื่อง,1,1,1,1.0000,1.0000,2500.00,175.00,2675.00,0.00,2026-05-26,2026-05-26,2500.0000,2500.0000
1,"Missing category 1",,,31,09766295,"แผ่นพลาสติก-Plastic smoothing disk ",,standard,แผ่น,2,2,2,6.0000,6.0000,2400.00,168.00,2568.00,0.00,2026-05-08,2026-05-29,400.0000,400.0000
48,"Power Tools",,,1069,32344380,"ชุดประกับใบตัด เครื่องเลื่อยวงแหวนตัดคอนกรีตไฟฟ้า รุ่น W-410","Spare wheel set, electric saw blade 410 mm.",standard,PCS,2,2,2,4.0000,4.0000,2321.40,162.50,2483.90,0.00,2026-05-09,2026-05-25,570.7000,570.7000
1,"Missing category 1",,,114,46019257,"Polishing diskเพจรองเครื่องขัดผนัง รุ่นRB-DWS225B",,standard,PCS,2,2,2,3.0000,3.0000,2318.32,162.28,2480.60,0.00,2026-05-05,2026-05-13,764.1600,764.1600
1,"Missing category 1",,,717,59782546,"ปืนยิงกาวซีเมนต์ -Grouting Mortar Sprayer  หัว 4 ขนาด 15mm,25mm,42mm,60mm รุ่น ML-GM-4P",,standard,SET,3,3,3,6.0000,6.0000,1980.00,138.60,2118.60,0.00,2026-05-14,2026-05-25,360.0000,360.0000
